Nn Notif Nr,PSI Failure Desc,label
DEMO0158,overcurrent damage: metallization damage at CLK,EOS
DEMO0014,"physical damage: CLK lead bent, handling issue",Non-EOS
DEMO0161,"cratering at IO1 junction, EOS-like failure signature",EOS
DEMO0021,"physical damage: VDDC lead bent, handling issue",Non-EOS
DEMO0195,"high current event at RST, junction damage with voltage spike",EOS
DEMO0173,"latch-up condition at OUT, oxide breakdown confirmed by EMMI",EOS
DEMO0015,"pin IO2 missing solder, cold joint observed",Non-EOS
DEMO0167,"pin OUT burnt due to transient event, dielectric breakdown",EOS
DEMO0118,"delamination at CLK, thermal cycling damage",Non-EOS
DEMO0003,"voltage spike at VCC, not related to electrical overstress",Non-EOS
DEMO0164,"pin VCC burnt due to current surge, dielectric breakdown",EOS
DEMO0171,"high current event at IO1, melting with ESD pulse",EOS
DEMO0114,"package crack near IN, thermomechanical fatigue",Non-EOS
DEMO0050,"open circuit at OUT, wire bond lift-off",Non-EOS
DEMO0072,"corrosion at VDDC contact, humidity ingress",Non-EOS
DEMO0094,"pin IO2 missing solder, cold joint observed",Non-EOS
DEMO0163,"component failure: cratering on IO2, overstress indication",EOS
DEMO0104,"intermittent open at GND, contamination",Non-EOS
DEMO0096,"corrosion at CLK contact, humidity ingress",Non-EOS
DEMO0185,overcurrent damage: oxide breakdown at OUT,EOS
DEMO0036,"open circuit at VDDC, wire bond lift-off",Non-EOS
DEMO0045,"package crack near EN, thermomechanical fatigue",Non-EOS
DEMO0002,"intermittent open at GND, contamination",Non-EOS
DEMO0074,"pin CLK missing solder, cold joint observed",Non-EOS
DEMO0187,"short circuit at GND pin, cratering observed under EMMI",EOS
DEMO0047,"transient event at CLK, not related to electrical overstress",Non-EOS
DEMO0103,"physical damage: OUT lead bent, handling issue",Non-EOS
DEMO0190,EOS event: RST shows oxide breakdown after voltage spike,EOS
DEMO0170,"short circuit at VDDC pin, cratering observed under cross-section",EOS
DEMO0027,"crack in passivation layer at IN, voltage spike",Non-EOS
DEMO0109,"current surge at OUT, not related to electrical overstress",Non-EOS
DEMO0135,"bond wire open on EN, mechanical stress fracture",Non-EOS
DEMO0054,"physical damage: IO1 lead bent, handling issue",Non-EOS
DEMO0078,"voltage spike at IN, not related to electrical overstress",Non-EOS
DEMO0133,"bond wire open on IN, mechanical stress fracture",Non-EOS
DEMO0016,"intermittent open at IN, contamination",Non-EOS
DEMO0007,"current surge at CLK, not related to electrical overstress",Non-EOS
DEMO0067,"physical damage: EN lead bent, handling issue",Non-EOS
DEMO0025,"intermittent open at VDDC, contamination",Non-EOS
DEMO0095,"open circuit at IN, wire bond lift-off",Non-EOS
DEMO0079,"intermittent open at IN, contamination",Non-EOS
DEMO0055,"reverse bias at VCC, not related to electrical overstress",Non-EOS
DEMO0059,"package crack near OUT, thermomechanical fatigue",Non-EOS
DEMO0028,"open circuit at IO2, wire bond lift-off",Non-EOS
DEMO0147,"latch-up condition at EN, metallization damage confirmed by TEM",EOS
DEMO0141,"pin EN burnt due to ESD pulse, dielectric breakdown",EOS
DEMO0139,"bond wire open on IO2, mechanical stress fracture",Non-EOS
DEMO0193,ESD pulse at IO2 caused severe oxide breakdown,EOS
DEMO0029,"voltage spike at VDDC, not related to electrical overstress",Non-EOS
DEMO0100,"intermittent open at EN, contamination",Non-EOS
DEMO0108,"physical damage: RST lead bent, handling issue",Non-EOS
